Paraula,Definicio
anemòmetre,"['Aparell per a mesurar la velocitat del vent. Els anemòmetres bidireccionals són els que mesuren les components horitzontals i la component vertical del vent. Existeix l’anemòmetre de cassoletes, format per tres o quatre cassoletes que impulsades pel vent giren entorn d’un eix vertical, i l’anemòmetre de pressió, que permet deduir la velocitat del vent a partir de la mesura de la pressió que exerceix el mateix vent.']"
anemometria,['Conjunt de tècniques de mesura de les característiques dinàmiques de l’aire.']
anemoscopi,['Aparell que indica la direcció del vent i dona una idea aproximada de la seva força.']
aneroide,"['Es diu dels baròmetres metàl·lics sense líquid, i en particular dels que tenen per òrgan sensible una o més càpsules de Vidi. El mot aneroide s’usa també com a substantiu per a indicar la mateixa classe d’aparells.']"
anomalia,['Diferència entre el valor d’un element meteorològic i el valor normal respectiu.']
anomalia climàtica,"['Diferència entre el valor d’una determinada variable climàtica i la seva mitjana al llarg d’un període de referència suficientment llarg, de trenta anys com a mínim segons la recomanació de l’Organització Meteorològica Mundial.']"
anomalia tèrmica,['Anomalia climàtica per al cas de la temperatura. Expressa la desviació d’aquesta variable respecte del seu valor de mitjana calculat durant un període de trenta anys.']
antiheli,"['Resplendor o fals Sol sense color, que apareix alguna vegada en un lloc del cel oposat al Sol i a la mateixa altura sobre l’horitzó.']"
anticicló,['Regió en la qual la pressió baromètrica és més alta que al seu voltant. En els mapes isobàrics s’utilitza el símbol A per a indicar un anticicló o una zona d’alta pressió atmosfèrica.']
anticicló de les Açores,['Regió tropical d’altes pressions corresponent a l’Atlàntic del Nord.']
anticicló càlid,['Anticicló en el qual l’aire de l’interior és més càlid que en les zones del seu voltant.']
anticicló de blocatge,['Anticicló que se situa a les latituds mitjanes i que actua com a obstacle per al moviment d’oest a est de les depressions que es mouen lluny dels tròpics.']
anticicló fred,['Anticicló en el qual l’aire de l’interior és més fred que en les zones del seu voltant.']
anticiclogènesi,['Qualsevol dels fenòmens d’iniciació o d’intensificació d’una circulació anticiclònica.']
anticiclòlisi,['Esvaïment d’una circulació anticiclònica.']
arc anticrepuscular,['Vegeu arc crepuscular.']
antisol,['Punt del cel diametralment oposat al que ocupa el Sol. Durant el dia és a sota l’horitzó. És el centre d’alguns arcs o cercles lluminosos produïts per les gotes d’aigua il·luminades pels raigs solars.']
antroponúvol,"['Núvol d’origen antròpic format a partir de les emissions de vapor d’aigua i els nuclis de condensació produïts en diferents processos de combustió deguts a les activitats humanes. L’Organització Meteorològica Mundial proposa anomenar-los amb el sufix homogenitus darrere del gènere principal del núvol, per exemple, cirrus homogenitus.']"
anuari meteorològic,['Publicació de les dades meteorològiques corresponents al període d’un any.']
any,"['Durada de la revolució de la Terra a l’entorn del Sol. L’any meteorològic es compta sovint com a coincident amb l’any natural, del primer de gener al 31 de desembre; però sovint també del primer de desembre al 30 de novembre, a fi de repartir-lo millor en les quatre estacions de l’any. Aleshores, el mes de desembre es conceptua formant part de l’any següent. En meteorologia agrícola es compta a vegades l’any meteorològic com a coincident amb l’any agrícola, o sia des del començament del període de conreu després de les grans collites; per exemple, a Mallorca l’any agrícola comença la setmana que segueix el 8 de setembre.']"
any agrícola,['Any hidrometeorològic.']
any hidrològic,['Període continu de dotze mesos en què es comptabilitzen els anys en hidrologia. S’inicia l’1 d’octubre i finalitza el 30 de setembre de l’any següent.']
any hidrometeorològic,['Període continu de dotze mesos que s’inicia l’1 de setembre i finalitza el 31 d’agost de l’any següent. És el període que es fa servir en meteorologia per a les anàlisis estadístiques.']
any meteorològic,['Any hidrometeorològic.']
aparell inscriptor,"['Aparell que registra automàticament, gairebé sempre d’una manera contínua i damunt un full mogut per un mecanisme de rellotgeria, els valors d’un element meteorològic, que queda així inscrit o registrat en una gràfica, en funció del temps.']"
aparell registrador,['Aparell inscriptor.']
arc crepuscular,"['Arc de color porpra que limita l’ombra de la Terra en l’atmosfera, per la banda oposada al Sol, abans de sortir l’astre o després de la posta.', 'Arc que, cap a la banda on ha de sortir o bé on s’ha post el Sol, separa la regió lluminosa del cel de la regió més fosca superior.', 'El Glossary de les instruccions del Weather Bureau dels Estats Units anomena el primer arc amb el nom de antitwilight arch (arc anticrepuscular).']"
arc de Bishop,['Cercle de Bishop.']
arc d’Ulloa,['Cercle d’Ulloa.']
arc de Sant Martí,"['Arc acolorit que es veu, sobretot durant els ruixats d’estiu, quan plou i fa sol al mateix temps.', 'Arc format per bandes concèntriques de colors que van del violeta al vermell que apareix a l’atmosfera en una pantalla de gotes d’aigua en suspensió produït per la refracció doble, en aquestes gotes, de la llum directa procedent del Sol.', 'Es forma a la banda oposada al Sol, com un cercle de 42° de radi a l’entorn de l’antisol (que es coneix com a arc principal, d’un radi d’entre 40 i 42°). La vora exterior és vermella i la interior blava o porprada. És freqüent observar un segon arc (anomenat arc de Sant Martí secundari), concèntric amb el primer, més dèbil i amb el vermell a la part interior; aquest segon arc té uns 50° de radi (entre 50° i 54°).']"
arc de Sant Martí secundari,['Vegeu arc de Sant Martí.']
arc de Sant Martí blanc,"['Arc principal causat per la refracció, reflexió i difracció de la llum solar en gotes d’aigua molt petites, format per una banda blanca envoltada de tonalitats vermelles a l’exterior i blavoses a l’interior.']"
arc de boira,['Arc lluminós d’aspecte blanquinós projectat sobre les gotetes de la boira o boirina.']
arc iris blanc,['Arc de boira.']
arc circumzenital,['Cercle circumzenital.']
arc circumhoritzontal,['Cercle circumhoritzontal.']
cercle circumhoritzontal,"['Fenomen òptic associat a la formació de l’halo, que consisteix en la formació d’un petit arc lluminós proper a l’halo en un pla imaginari paral·lel a l’horitzó.']"
arc iris,['Arc de Sant Martí.']
arc tangent,"['Arc lluminós, tangent en el punt més alt de l’halo de 22°, o bé (menys freqüentment) lateralment al de 46°.']"
arcus,"['Complement d’un cúmulus o d’un cumulonimbus en forma de rodet horitzontal arquejat, dens i fosc, amb el contorn esparracat, i situat a la part frontal baixa del núvol.']"
àrea negativa,"['En un tefigrama, àrea compresa entre la temperatura d’una massa d’aire que ascendeix adiabàticament i l’observada pel sondatge, quan la massa d’aire és més freda que l’atmosfera.']"
àrea positiva,"['En un tefigrama, àrea compresa entre la temperatura d’una massa d’aire que ascendeix adiabàticament i l’observada pel sondatge, quan la massa d’aire és més calenta que l’atmosfera.']"
àrid | àrida,['Es diu del clima que produeix escassa vegetació per insuficiència de les pluges.']
As,['Símbol de altoestratus.']
ascendent,"['Gradient negatiu, o sia comptat positivament en el sentit creixent d’un element meteorològic.']"
ascendència,"['Corrent d’aire que ascendeix per la troposfera, degut principalment a la convecció.']"
assimilació,"['Procés al llarg de l’execució d’un model numèric de predicció, que consisteix en la determinació dels camps inicial de les diverses variables meteorològiques que integren el model, i que estableix l’estat inicial del model a partir de les observacions disponibles i les prediccions d’aquestes en la sortida anterior del model.']"
asperitas,"['Característica suplementària que s’observa ocasionalment a la part baixa d’un banc d’estratocúmuls o altocúmuls, consistent en unes ondulacions rugoses que donen aparença d’aspresa, semblant a l’aspecte que presenta una superfície de l’aigua vista des de sota.']"
aspiropsicròmetre,['Psicròmetre que incorpora un petit ventilador que facilita la circulació de l’aire per a una lectura més precisa de la humitat i la temperatura.']
atenuació atmosfèrica,"['Fenomen de reducció del flux radiant de la radiació solar, originat per la difusió d’aquest flux en les molècules de l’aire, per l’absorció selectiva de certes molècules i per l’absorció i difusió del flux en els aerosols.']"
atèrman | atèrmana,['Que no deixa passar les radiacions calorífiques.']
atles climatològic,"['Atles on s’indica la distribució geogràfica d’alguna variable climàtica (per exemple, atles pluviomètric). Inclou mapes on apareixen representades les distribucions mensuals, estacionals i anuals de les principals variables meteorològiques (per exemple, la temperatura, el vent, la precipitació, la pressió, etc.) per a un determinat àmbit geogràfic.']"
Atles internacional de núvols,"['Obra de referència publicada per l’Organització Meteorològica Mundial que inclou tota la nomenclatura oficial dels núvols en llatí, una extensa col·lecció de fotografies i figures explicatives. En total hi defineix deu gèneres de núvols, quinze espècies, nou varietats, onze trets suplementaris, quatre núvols accessoris i sis núvols especials. D’aquesta manera, cada núvol es pot identificar d’una manera detallada indicant el gènere i l’espècie a la qual pertany. Els gèneres i les espècies són mútuament excloents entre si, de forma que un mateix núvol no pot pertànyer a dues espècies o gèneres alhora. Les varietats i els trets suplementaris poden contenir diverses espècies de núvols. L’Atles va ser publicat per primer cop l’any 1896, i la darrera versió és de l’any 2017, la qual va incloure el terme homogenitus per identificar els antroponúvols.']"
atmidòmetre,['Evaporímetre.']
atmosfera,"['Massa d’aire que envolta la Terra. Es distribueix en capes, segons el criteri que s’utilitzi. El més comú és el perfil de la temperatura, que divideix l’atmosfera en cinc capes: troposfera, estratosfera, mesosfera, termosfera i exosfera. La troposfera és la capa on se centra l’estudi de la meteorologia.', 'Unitat de pressió equivalent a la de 760\u2006mm de mercuri en condicions normals, és a dir, 15 °C de temperatura i una densitat de l’aire d’1,2\u2006kg · m‒3 (v. t.: pressió normal). Sovint es pren avui com a atmosfera unitat, en certs estudis teòrics, la pressió d’1 bar = 1.000 mil·libars. (1 mil·libar equival a 1\u2006hPa).']"
atmosfera baroclínica,['Atmosfera en la qual es produeix baroclinitat. És una atmosfera teòrica en què la densitat de l’aire només depèn de la pressió i de la temperatura.']
atmosfera barotròpica,"['Atmosfera en la qual es produeix barotropia. En aquesta atmosfèrica teòrica, la densitat depèn només de la pressió.']"
atmosfera estàndard,"['Atmosfera de referència que s’ha adoptat, per conveni, per a representar els valors mitjans dels diversos elements meteorològics en direcció vertical, coneguda també amb la sigla ISA (de l’anglès, standard atmosphere), i que requereix una temperatura de 15 °C en superfície, 1.013,25 hPa de pressió, una densitat de l’aire en superfície d’1,2 kg·m‒3 i un gradient tèrmic vertical de ‒6,5 °C/km. És l’atmosfera de referència adoptada per l’ICAO (Organització Internacional d’Aviació Civil).']"
ISA,['Sigla de atmosfera estàndard.']
atmosfera isoterma,['Atmosfera en la qual la temperatura és constant amb l’altura.']
atmosfera homogènia,"['Atmosfera hipotètica, de densitat i temperatura uniformes, iguals a les de l’atmosfera real en la seva capa inferior, i que exerciria pel seu pes la mateixa pressió que s’observa en aquesta capa (hipòtesi d’incompressibilitat). La seva alçària mitjana, per a una temperatura de 0 °C, és de 7.991 metres. L’atmosfera homogènia és un element important de referència en els càlculs de l’extinció de la llum.']"
atmosfera lliure,"['La totalitat de la troposfera llevat de la capa límit, la més immediata a la superfície terrestre, on existeixen efectes importants de la fricció del vent amb el terra i hi ha intercanvi de calor i de massa entre el sòl i l’aire. És la capa que queda entre la capa límit i la tropopausa.']"
atmosfera politròpica,['Atmosfera que està en equilibri hidroestàtic i té un gradient vertical de temperatura constant i diferent de zero.']
atmosfera tipus,['Atmosfera estàndard.']
atmosfera de Rayleigh,"['Atmosfera ideal que no conté sinó gasos purs, amb exclusió de partícules sòlides o líquides de cap mena. En la teoria de l’extinció de la llum, correspon a l’acció de les molècules de l’aire, independentment de tota impuresa.']"
soroll atmosfèric,"['Pertorbació deguda a causes naturals, que, en forma de descàrrega, introdueix sorolls paràsits en la telegrafia sense fils.']"
atrapaboires,"['Dispositiu que consisteix en una pantalla formada per una malla molt fina que té la capacitat d’atrapar les gotetes d’aigua de la boira, la qual en permet la recol·lecció i acumular l’aigua de la boira. S’usa sovint en zones àrides litorals i permet mantenir conreus en zones amb pluviometria molt baixa.']"
azimut,"['Angle comprès entre el pla vertical d’un objecte i el pla meridià. Avui, en meteorologia, se’l sol comptar en graus des del nord ver, en el sentit de les busques del rellotge (nord-est-sud-oest). En els sondatges internacionals de la primera època es comptava des del sud.']"
audibilitat,['Possibilitat de percebre un so. Es mesura per la distància a la qual deixa d’ésser perceptible.']
audició anòmala,"['La que té lloc més enllà dels límits normals d’audibilitat, passada la «zona de silenci».']"
aurèola,"['Regió lluminosa del cel, a l’entorn del Sol o de la Lluna, quan aquests astres estan envoltats d’una corona. Alguna vegada es designa també amb el nom de aurèola la regió brillant que hi ha al voltant del Sol encara que no hi hagi núvols.']"
aurora,"['Resplendor de diferents formes (raigs lluminosos, cortines, etc.), d’origen segurament elèctric, que apareix en el cel a les altes latituds, en particular en uns casquets que tenen per pols els pols magnètics de la Terra. En el cas de l’aurora polar, es considera un meteor elèctric que es manifesta visualment en forma de raigs, arcs, bandes, cortines o corona, que es produeix quan el camp magnètic terrestre capta les partícules provinents de les tempestes magnètiques que tenen lloc al Sol, i que apareix a l’atmosfera lliure, principalment a les latituds altes. Es parla de aurora austral quan es produeix a l’hemisferi sud, i de aurora boreal quan és al nord.']"
aurora austral,['Aurora que es produeix a l’hemisferi sud.']
aurora boreal,['Aurora que es produeix a l’hemisferi nord.']
autoconvecció,['Inestabilitat mecànica.']
avís meteorològic,['Avís que un servei meteorològic emet quan es preveu amb certa probabilitat que se superin uns determinats llindars de variables meteorològiques o tinguin lloc fenòmens meteorològics poc freqüents o excepcionals el mateix dia de la predicció o fins al tercer dia de predicció.']
baguio,"['Nom filipí dels ciclons tropicals, admès en el lèxic internacional.']"
baixa,"['Regió de baixa pressió.', 'Zona de l’atmosfera en la qual la pressió atmosfèrica és més baixa que en les zones del seu voltant al mateix nivell.', 'S’usa per a designar en la carta del temps una depressió.']"
baixa aïllada,['Depressió aïllada en nivells alts.']
baixa relativa,"['En una àrea anticiclònica, zona on la pressió atmosfèrica és inferior a la de l’entorn sinòptic, en què la pressió atmosfèrica és major.']"
baixa tèrmica,"['Zona de baixa pressió formada a nivells propers a la superfície deguda a un elevat escalfament d’aquesta, normalment en èpoques estivals càlides. En escalfar-se l’aire en contacte amb el terra, aquest esdevé menys dens i ascendeix, generant en superfície una baixa pressió respecte de les zones que l’envolten.']"
balanç de radiació,['Diferència entre la radiació que arriba en sentit descendent a una superfície plana i la radiació que ascendeix a partir d’aquesta superfície.']
balanç energètic terrestre,"['Equilibri entre el flux d’energia que rep la Terra i el que aquesta retorna cap a l’espai exterior. De mitjana global i en un període llarg (anual), el balanç és nul. A causa de l’increment de gasos d’efecte hivernacle a la troposfera produïts per l’activitat humana, s’està produint un desequilibri en aquest balanç per un menor retorn de radiació cap a l’espai, fet que comporta un escalfament global.']"
balancímetre,['Radiòmetre que mesura el balanç de radiació d’una superfície plana.']
baló,"['Aparell sense motor que consisteix, en essència, en un receptacle que conté un gas més lleuger que l’aire, sovint hidrogen o heli, que s’eleva a causa de la força ascensional i que sol anar proveït d’una barqueta per portar tripulants o instruments. Pot ser captiu, quan està unit a terra amb un cable lleuger i resistent, o lliure si ascendeix lliurement a l’atmosfera. Es parla de baló pilot quan és lliure i s’utilitza per a fer mesures visuals del vent en alçada, i baló sonda quan és lliure i transporta instruments meteorològics.']"
baló pilot,['Vegeu baló.']
baló sonda,['Vegeu baló.']
banc,['Banc de núvols.']
banc de boira,['Boira compacta que s’estén horitzontalment al llarg d’alguns centenars de metres.']
banc de núvols,"['Conjunt de núvols de poca espessor i del mateix gènere que, situats aproximadament al mateix nivell, cobreixen una part del cel.']"
banda d’absorció,['Regió de l’espectre electromagnètic en la qual la radiació és absorbida.']
banda de núvols,['Núvol o conjunt de núvols compactes i ben definits que s’estenen pel cel formant aproximadament una línia recta. Quan s’observen sobre l’horitzó i s’estenen per una part important d’aquest s’anomena banc de núvols.']
bandera,"['Núvol paràsit que es forma a sotavent de certs pics molt alts, com una bandera blanca, en dies de vent fort. És produït per un fenomen de depressió baromètrica local i el refredament subsegüent.']"
banderola,"['Símbol meteorològic consistent en una figura triangular que, en un mapa sinòptic, dins la barba que acompanya una fletxa de vent, indica una velocitat del vent de 25 m · s‒1.']"
banquisa polar,['Capa de gel flotant que es forma a les regions polars a conseqüència de les temperatures negatives que congelen l’aigua del mar.']
bar,"['Unitat de pressió, equivalent a un milió de dines (1 megadina) per centímetre quadrat, o sia la pressió d’una columna de mercuri de 750,1 mil·límetres d’altura, a la temperatura de 0 °C, en la latitud de 45° i al nivell del mar. En química s’aplica el mateix nom o el de baria a la pressió d’1 dina per cm2, de manera que 1 bar meteorològic equival a 1 milió de baries químiques. La mil·lèsima part del bar és el mil·libar (1.000 dines per cm2). En el sistema internacional d’unitats de pressió s’usa el Pascal (Pa); en meteorologia s’acostuma a utilitzar l’hectopascal (hPa). L’equivalència entre bar i pascal és 1 mbar = 1 hPa.']"
barba,"['Raig de sol, dirigit cap avall per entremig dels núvols. És propi dels estats de forta humitat en l’aire inferior al plafó, i en opinió dels nostres mariners és senyal de llevants frescos: «Sol amb barbes, gregal amb cames».', 'Símbol meteorològic que consisteix en un conjunt de ratlles i banderoles dibuixades perpendicularment a la fletxa del vent, que indica la velocitat del vent. Les ratlles més llargues indiquen una velocitat de 10 kt, mentre que les més curtes indiquen 5 kt.']"
barda,"['Núvol paràsit ajagut al llarg de la carena d’una serralada. Sol ésser el límit final d’una zona de nuvolositat orogràfica, vist de sotavent.']"
barociclonòmetre,"['Instrument ideat pel meteoròleg català P. J. Algué, i que serveix per a localitzar els ciclons tropicals quan no es disposa de carta del temps.']"
baroclínic | baroclínica,['Que s’aplica al camp de masses quan les superfícies d’igual densitat i les d’igual pressió es tallen en un sistema de corbes ben definit.']
barògraf,['Baròmetre que enregistra les variacions de la pressió atmosfèrica durant un període de temps determinat.']
barograma,['Inscripció contínua de la pressió feta per un barògraf.']
baròmetre,"['Aparell per a mesurar la pressió atmosfèrica. N’hi ha de diversos tipus segons el seu funcionament. En el de mercuri, la pressió atmosfèrica equilibra la pressió exercida per una columna d’aquest element. El de sifó és de mercuri amb el tub en forma de U i de diàmetre igual en els dos nivells de les superfícies lliures.']"
baròmetre aneroide,['Baròmetre que té una o diverses càpsules aneroides com a sensors.']
barosisme,"['Oscil·lació de la superfície sòlida de la Terra produïda pels vents forts, en general irregular i de període gairebé sempre molt inferior a un minut, que és registrada en els sismògrafs.']"
barotermògraf,['Aparell que registra simultàniament la temperatura i la pressió de l’aire.']
barotròpic | barotròpica,"['Que s’aplica al camp de masses d’aire quan les superfícies d’igual densitat coincideixen amb les isobàriques, o sia quan la densitat és funció de la pressió.']"
barrufet de vent,['Remolí de pols.']
base del núvol,['Part inferior del núvol.']
batzegada,"['Discontinuïtat en la pujada dels termòmetres de màxima del tipus Negretti, per efecte de l’estrangulació que hi ha a la sortida del dipòsit. Un termòmetre que doni menys de 8 batzegades per grau, ha d’ésser considerat com a defectuós.']"
bescanvi,"['Intercanvi de propietats entre dues masses d’aire veïnes, per efecte de la turbulència. És d’especial importància en meteorologia el bescanvi de calor, d’humitat i de quantitat de moviment.']"
bioclimatologia,['Estudi de la influència dels fenòmens meteorològics i climàtics sobre els éssers vius.']
biometeorologia,['Branca de la meteorologia que estudia la influència dels elements meteorològics sobre els organismes vius.']
biosfera,"['Capa de la Terra dins de la qual es desenvolupen els organismes vius que comprèn la regió inferior de l’atmosfera, els mars i les capes més externes del sòl.']"
